iter	Passed	Remaining
769	37226	11119
770	37275	11071
771	37323	11022
772	37373	10975
773	37421	10926
774	37470	10878
775	37519	10830
776	37568	10782
777	37618	10734
778	37665	10685
779	37720	10639
780	37769	10590
781	37815	10541
782	37861	10492
783	37911	10445
784	37957	10395
785	38004	10347
786	38050	10298
787	38098	10249
788	38146	10201
789	38194	10152
790	38241	10104
791	38289	10055
792	38337	10007
793	38387	9959
794	38436	9911
795	38485	9863
796	38533	9814
797	38581	9766
798	38629	9717
799	38678	9669
800	38728	9621
801	38787	9575
802	38849	9530
803	38905	9484
804	38959	9437
805	39011	9389
806	39067	9343
807	39119	9295
808	39169	9247
809	39219	9199
810	39271	9152
811	39323	9104
812	39374	9056
813	39437	9011
814	39492	8964
815	39547	8917
816	39598	8869
817	39651	8822
818	39702	8774
819	39753	8726
820	39803	8678
821	39853	8630
822	39903	8581
823	39954	8533
824	40004	8485
825	40054	8437
826	40104	8389
827	40149	8340
828	40196	8291
829	40245	8243
830	40292	8194
831	40341	8145
832	40404	8100
833	40450	8051
834	40499	8002
835	40546	7954
836	40594	7905
837	40642	7856
838	40690	7808
839	40736	7759
840	40783	7710
841	40829	7661
842	40879	7613
843	40924	7564
844	40971	7515
845	41019	7466
846	41067	7418
847	41116	7369
848	41165	7321
849	41213	7272
850	41260	7224
851	41310	7175
852	41358	7127
853	41408	7079
854	41457	7030
855	41506	6982
856	41555	6933
857	41602	6885
858	41654	6837
859	41708	6789
860	41754	6740
861	41803	6692
862	41850	6643
863	41897	6595
864	41944	6546
865	41991	6497
866	42036	6448
867	42083	6399
868	42131	6351
869	42179	6302
870	42226	6254
871	42274	6205
872	42323	6157
873	42372	6108
874	42422	6060
875	42469	6011
876	42519	5963
877	42566	5914
878	42620	5866
879	42668	5818
880	42716	5769
881	42766	5721
882	42815	5673
883	42863	5624
884	42912	5576
885	42960	5527
886	43009	5479
887	43056	5430
888	43104	5382
889	43153	5333
890	43201	5285
891	43250	5236
892	43300	5188
893	43347	5139
894	43395	5091
895	43443	5042
896	43492	4994
897	43539	4945
898	43589	4897
899	43636	4848
900	43685	4800
901	43743	4752
902	43804	4705
903	43861	4657
904	43915	4609
905	43969	4561
